Instance,μ,And. LB,And. UB,And. status,And. time [s],Our UB,Our status,Our time [s],Δ UB [%],Time ratio
50×100,1,1734.286755,1734.302278,opt✓,6.3,1734.302278167934,opt✓,262.3968890000033,9.683093085126723e-09,41.65029984127036
50×100,2,123.826176,123.838458,opt✓,23.7,123.8384583301924,opt✓,230.0534544999973,2.6663154392569614e-07,9.706896814345876
50×100,3,20.587974,20.590016,opt✓,356.1,20.590016186212733,opt✓,157.18205290000333,9.043836300138242e-07,0.44139863212581665
100×200,1,2862.036663,2862.302805,opt✓,25.8,2862.302805332282,opt✓,199.2691749000005,1.1608906986461757e-08,7.723611430232578
100×200,2,116.045985,116.057435,opt✓,202.6,116.05743520283012,opt✓,226.5523730999994,1.7476702158328882e-07,1.1182249412635705
100×200,3,14.549077,14.579133,0.21%,7200.0,14.57913317306818,opt✓,337.0066996000023,1.1870951464084958e-06,0.04680648605555588
150×300,1,3740.117723,3740.444453,opt✓,82.6,3740.654554438311,opt✓,442.1090362999967,0.005617018002835854,5.352409640435796
150×300,2,103.148114,103.151031,opt✓,420.7,103.15103115578952,opt✓,583.1551738999988,1.5103050373530083e-07,1.386154442357972
150×300,3,11.383811,11.429016,0.40%,7200.0,11.42872228976939,MEM,7462.626059299997,-0.002569864550117966,1.036475841569444
200×400,1,4970.172084,4970.667519,opt✓,419.9,4970.363583041389,opt✓,3135.8213572000022,-0.006114590393527466,7.468019426530132
200×400,2,115.406346,115.447473,0.04%,7200.2,115.44747277497494,opt✓,2125.749598000002,-1.9491553677862255e-07,0.29523479875559044
200×400,3,10.507078,10.577367,0.66%,7200.1,10.57629085411518,TL,8135.9166138,-0.010174043169912501,1.129972724517715
250×500,1,6689.294081,6689.956719,opt✓,541.1,6689.831916854839,opt✓,7715.3865907,-0.0018655149861677887,14.258707430604323
250×500,2,114.262785,114.350685,0.08%,7200.2,114.350685228619,opt✓,2723.1144658999983,1.9992796813034803e-07,0.3781998369350849
250×500,3,10.856597,10.95983,0.94%,7200.1,10.96299760509553,TL,8304.977767300006,0.028901954642822837,1.153453114165082
300×600,1,8136.481866,8136.945933,opt✓,1859.5,8136.879466116941,MEM,6680.284350600006,-0.0008168529520280629,3.5925164563592396
300×600,2,118.439121,118.543307,0.09%,7200.2,118.543306923024,opt✓,2176.0347337999992,-6.493491326275684e-08,0.3022186513985722
300×600,3,12.982123,13.10007,0.90%,7200.1,13.104950068392748,MEM,6916.794257899994,0.0372522314212631,0.9606525267565719
350×700,1,9049.515481,9049.868329,opt✓,2414.4,9050.095620850649,opt✓,6222.663128300002,0.002511548703084079,2.577312428885024
350×700,2,120.662887,121.123827,0.38%,7200.2,120.98672461463254,opt✓,4239.537588699997,-0.11319192000717579,0.5888083093108522
350×700,3,10.678994,10.831706,1.41%,7200.1,10.827658467883854,TL,7583.646214499997,-0.037367448083862435,1.0532695677143369
400×800,1,11489.936112,11491.078727,opt✓,1844.9,11551.76732301577,TL,9355.3814787,0.5281366306643929,5.070942315952084
400×800,2,129.071246,129.325802,0.20%,7200.2,129.27980092101026,TL,10269.375446300008,-0.0355699158855761,1.4262625269159201
400×800,3,11.773388,11.984283,1.76%,7200.2,12.096441108812046,TL,9291.507650500018,0.9358766712372069,1.290451327810341
450×900,1,12520.430969,12521.672548,opt✓,4736.4,12534.8774024888,TL,9275.564155600005,0.1054559958997601,1.958357435098388
450×900,2,133.798892,134.252183,0.34%,7200.3,134.17182115141142,TL,9330.793267200002,-0.05985887662517983,1.2958895139369195
450×900,3,12.283354,12.50219,1.75%,7200.2,12.532392610350849,TL,9300.726497099997,0.24157855824338093,1.2917316876058995
500×1000,1,13139.042944,13141.445285,0.02%,7200.4,13159.29492770428,MEM,2145.738024099992,0.13582708992179923,0.2980026143130926
500×1000,2,123.192951,124.36065,0.94%,7200.4,157.1113253050327,MEM,2060.5979123,26.335239728187883,0.28617825569412814
500×1000,3,11.831966,12.076208,2.02%,7200.2,21.71375345166624,MEM,3736.760596399981,79.80605709727955,0.5189801111635761
