size,oa_time_s,bna_time_s,exact_time_s,bpc_time,ba_time
5,0.10108573335067672,0.17154956667218355,0.1011856000210779,,
10,1.6953176666478005,1.236145966666906,0.4413420333294198,,
15,7.814588200009894,1.2783278333178412,0.4078904666627447,,
20,2.5580996999827526,4.120066500016644,18.157816933332168,,
25,8.495034466672223,2.91566729999613,4.8332540333309835,,
30,31.100556066647794,7.262462266662624,22.095458433342476,,
50,71.402222666676,2.715635600014745,1207.335506966648,,
100,254.82834949998264,4.370650466667333,1226.1538524000014,,
150,1122.4445384333376,11.924957666662522,2.642287566656402,,
200,3361.7364017666746,3599.843566199978,21.445091566672392,,
200,,,,0.058,419.9
250,3601.1562130333236,2323.1778923666766,13.13089486665558,,
250,,,,0.082,541.1
300,3601.8834803333157,48.308710599977836,25.244293600010376,,
300,,,,0.124,1859.5
350,,,,0.167,2414.4
400,,,,0.232,1844.9
450,,,,0.29,
