file,weapons,targets,mu,BnA_time_s,BnA_obj,BnA_status,BnA_error,BnA_v2_time_s,BnA_v2_obj,BnA_v2_status,BnA_v2_error,Andersen_time_s,Andersen_LB,Andersen_UB,Andersen_status,size,instance_label
wta_50x100x1.txt,50,100,1,27.32911208400037,1734.302278167934,optimal,,28.41492983401986,1734.302278167934,optimal,,6.3,1734.286755,1734.302278,opt✓,5000,50×100
wta_100x200x1.txt,100,200,1,66.3323405419942,2862.302805332282,optimal,,67.12944891600637,2862.302805332282,optimal,,25.8,2862.036663,2862.302805,opt✓,20000,100×200
wta_150x300x1.txt,150,300,1,233.14295120799216,3740.4174771419302,optimal,,169.38579583301907,3740.44382624705,optimal,,82.6,3740.117723,3740.444453,opt✓,45000,150×300
wta_200x400x1.txt,200,400,1,,,,worker_crashed_exit_code_-9,278.09526837500744,4970.363583041389,optimal,,419.9,4970.172084,4970.667519,opt✓,80000,200×400
wta_250x500x1.txt,250,500,1,452.5877540409565,6690.156641821195,optimal,,568.0772450420191,6689.90823543569,optimal,,541.1,6689.294081,6689.956719,opt✓,125000,250×500
wta_300x600x1.txt,300,600,1,743.1602805000148,8137.057389875367,optimal,,1146.572669708985,8137.176031878049,optimal,,1859.5,8136.481866,8136.945933,opt✓,180000,300×600
wta_350x700x1.txt,350,700,1,1445.4562964999932,9049.86847108811,optimal,,1598.3601185000152,9050.02467873874,optimal,,2414.4,9049.515481,9049.868329,opt✓,245000,350×700
wta_400x800x1.txt,400,800,1,3572.0143232910195,11491.045602581744,optimal,,2575.667083084001,11491.0973550099,optimal,,1844.9,11489.936112,11491.078727,opt✓,320000,400×800
wta_450x900x1.txt,450,900,1,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,4736.4,12520.430969,12521.672548,opt✓,405000,450×900
wta_500x1000x1.txt,500,1000,1,,,,,11734.372445542016,13141.438558876533,optimal,,7200.4,13139.042944,13141.445285,0.02%,500000,500×1000
wta_50x100x2.txt,50,100,2,26.740192542027216,123.8384583301924,optimal,,23.373873749980703,123.8384583301924,optimal,,23.7,123.826176,123.838458,opt✓,5000,50×100
wta_100x200x2.txt,100,200,2,53.83549550001044,116.05743520283012,optimal,,56.98352041596081,116.05743520283012,optimal,,202.6,116.045985,116.057435,opt✓,20000,100×200
wta_150x300x2.txt,150,300,2,76.03587916697143,103.15103115578952,optimal,,82.33570425002836,103.15103115578952,optimal,,420.7,103.148114,103.151031,opt✓,45000,150×300
wta_200x400x2.txt,200,400,2,175.26727641699836,115.44747277497494,optimal,,179.75852329202462,115.44747277497494,optimal,,7200.2,115.406346,115.447473,0.04%,80000,200×400
wta_250x500x2.txt,250,500,2,423.6982518330333,114.350685228619,optimal,,326.94888320798054,114.350685228619,optimal,,7200.2,114.262785,114.350685,0.08%,125000,250×500
wta_300x600x2.txt,300,600,2,273.1143680419773,118.543306923024,optimal,,258.4904288749676,118.54967629137508,optimal,,7200.2,118.439121,118.543307,0.09%,180000,300×600
wta_350x700x2.txt,350,700,2,1138.7338287089951,120.98672461463254,optimal,,1656.801844457979,120.98672461463254,optimal,,7200.2,120.662887,121.123827,0.38%,245000,350×700
wta_400x800x2.txt,400,800,2,592.646007375035,129.27980092101026,optimal,,704.1745472500334,129.27980092101026,optimal,,7200.2,129.071246,129.325802,0.20%,320000,400×800
wta_450x900x2.txt,450,900,2,1117.0580207500025,134.17182115141142,optimal,,873.503944291966,134.17182115141142,optimal,,7200.3,133.798892,134.252183,0.34%,405000,450×900
wta_500x1000x2.txt,500,1000,2,,,,,6500.1139901250135,123.77555118780408,optimal,,7200.4,123.192951,124.36065,0.94%,500000,500×1000
wta_50x100x3.txt,50,100,3,25.2589083329658,20.590016186212733,optimal,,24.607265750004444,20.590016186212733,optimal,,356.1,20.587974,20.590016,opt✓,5000,50×100
wta_100x200x3.txt,100,200,3,78.72642554203048,14.57913317306818,optimal,,68.23854216601467,14.57913317306818,optimal,,7200.0,14.549077,14.579133,0.21%,20000,100×200
wta_150x300x3.txt,150,300,3,709.9268222919782,11.42872228976939,optimal,,170.43667020904832,11.42872228976939,optimal,,7200.0,11.383811,11.429016,0.40%,45000,150×300
wta_200x400x3.txt,200,400,3,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,7200.1,10.507078,10.577367,0.66%,80000,200×400
wta_250x500x3.txt,250,500,3,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,7200.1,10.856597,10.95983,0.94%,125000,250×500
wta_300x600x3.txt,300,600,3,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,7200.1,12.982123,13.10007,0.90%,180000,300×600
wta_350x700x3.txt,350,700,3,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,7200.1,10.678994,10.831706,1.41%,245000,350×700
wta_400x800x3.txt,400,800,3,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,7200.2,11.773388,11.984283,1.76%,320000,400×800
wta_450x900x3.txt,450,900,3,,,,worker_crashed_exit_code_-9,,,,worker_crashed_exit_code_-9,7200.2,12.283354,12.50219,1.75%,405000,450×900
wta_500x1000x3.txt,500,1000,3,,,,,,,,worker_crashed_exit_code_-9,7200.2,11.831966,12.076208,2.02%,500000,500×1000
